Sectie,#,Plek,Huidige tekst,Nieuwe tekst (vul hier in)
NAVIGATIE,1,Logo,CAPTURED by Boaz,
NAVIGATIE,2,Nav link 1,Over mij,
NAVIGATIE,3,Nav link 2,Portfolio,
NAVIGATIE,4,Nav link 3,Projecten,
NAVIGATIE,5,Nav link 4,Werkwijze,
NAVIGATIE,6,Nav link 5,Contact,
NAVIGATIE,7,Nav knop,Samenwerken?,
HERO,8,Eyebrow (kleine tekst boven titel),Fotograaf & Videograaf — Lelystad NL,
HERO,9,Titel regel 1,VERHALEN,
HERO,10,Titel regel 2,DIE MENSEN,
HERO,11,Titel regel 3,IN BEWEGING,
HERO,12,Titel regel 4,BRENGEN,
HERO,13,Subtekst,Boaz Zuman — Ik maak beelden die niet vergeten worden. Van familie & portret tot cinematic travel films en impact projecten voor NGO's en maatschappelijke initiatieven.,
HERO,14,Knop 1,Bekijk showreel,
HERO,15,Knop 2,Mijn werk,
STATISTIEKEN,16,Stat 1 — getal,120,
STATISTIEKEN,16,Stat 1 — label,Projecten afgerond,
STATISTIEKEN,17,Stat 2 — getal,6,
STATISTIEKEN,17,Stat 2 — label,Landen gefotografeerd,
STATISTIEKEN,18,Stat 3 — getal,4,
STATISTIEKEN,18,Stat 3 — label,Jaar ervaring,
STATISTIEKEN,19,Stat 4 — getal,15,
STATISTIEKEN,19,Stat 4 — label,NGO & impact projecten,
OVER MIJ,20,Badge op foto,Lelystad NL,
OVER MIJ,21,Sectie label,Over mij,
OVER MIJ,22,Naam titel,IK BEN BOAZ ZUMAN,
OVER MIJ,23,Alinea 1,Ik geloof dat elk verhaal het waard is om verteld te worden. Of het nu gaat om een familie die een nieuwe fase in hun leven ingaat een reiziger die een vreemde cultuur ontdekt of een organisatie die de wereld wil veranderen — ik zorg dat die momenten blijven.,
OVER MIJ,24,Alinea 2,Mijn stijl is cinematic documentair en menselijk. Geen gladde corporate look maar beelden die voelen. Geïnspireerd door de Fujifilm- en Sony-kleurwetenschap travel cinema en sociale storytelling die mensen echt raakt.,
OVER MIJ,25,Alinea 3,Gebaseerd in Lelystad actief door heel Nederland en ver daarbuiten.,
OVER MIJ,26,Tags,Familie & Portret · Travel Photography · Cinematic Film · NGO / Impact · Branded Content · Short Films,
SELECTED PROJECTS,27,Project 1 — naam,PLASTIC VIDEO,
SELECTED PROJECTS,27,Project 1 — subtitel,Bewustwording & impact — Documentaire short film,
SELECTED PROJECTS,28,Project 2 — naam,KORFBAL VIDEO,
SELECTED PROJECTS,28,Project 2 — subtitel,Sport & beweging — Aftermovie & event coverage,
SELECTED PROJECTS,29,Project 3 — naam,CITY WALK AFTERMOVIE,
SELECTED PROJECTS,29,Project 3 — subtitel,Travel & cultuur — Cinematic stadsfilm,
SELECTED PROJECTS,30,Project 4 — naam,NGO AWARENESS FILM,
SELECTED PROJECTS,30,Project 4 — subtitel,Impact & maatschappij — Short film voor een goed doel,
SELECTED PROJECTS,31,Project 5 — naam,FAMILIE REPORTAGE,
SELECTED PROJECTS,31,Project 5 — subtitel,Portret & verhaal — Documentaire familieshoot,
WERKWIJZE,32,Sectie label,Werkwijze,
WERKWIJZE,33,Titel,WAT KUN JE VERWACHTEN VAN ONS?,
WERKWIJZE,34,Intro tekst,Samenwerken met mij is relaxed eerlijk en resultaatgericht. Ik geloof in verbinding voor de camera — want dat is wat je ziet in het eindresultaat. Geen stijf of geforceerd maar echt en impactvol.,
WERKWIJZE,35,Knop,Plan een kennismaking,
WERKWIJZE,36,Stap 1 — titel,Kennismaking,
WERKWIJZE,37,Stap 1 — tekst,We beginnen met een goed gesprek — liefst met koffie. Ik wil jouw verhaal begrijpen voordat ik ook maar één foto maak.,
WERKWIJZE,38,Stap 2 — titel,Concept & voorbereiding,
WERKWIJZE,39,Stap 2 — tekst,Op basis van jouw wensen bouw ik een creatief concept. Ik denk mee over locatie timing en sfeer — zodat niets aan het toeval wordt overgelaten.,
WERKWIJZE,40,Stap 3 — titel,De shoot of opname,
WERKWIJZE,41,Stap 3 — tekst,Op de dag zelf zorg ik voor een ontspannen sfeer. Jij hoeft alleen jezelf te zijn. Ik doe de rest.,
WERKWIJZE,42,Stap 4 — titel,Editing & levering,
WERKWIJZE,43,Stap 4 — tekst,Cinematic kleurgrading in mijn eigen stijl. Jij ontvangt bestanden in hoge resolutie klaar voor gebruik — binnen de afgesproken tijd.,
WERKWIJZE,44,Stap 5 — titel,Nazorg,
WERKWIJZE,45,Stap 5 — tekst,Ik ben er ook daarna. Heb je vragen of wil je nog iets aanpassen? Ik denk graag mee.,
CONTACT,46,Titel,ZIN IN EEN KOFFIE?,
CONTACT,47,Tekst,Of je nu een shoot wilt plannen een film wil laten maken of gewoon eens wilt sparren over een idee — stuur me een berichtje. Ik reageer altijd.,
CONTACT,48,Reactietijd tekst,Ik reageer binnen 24 uur.,
FOOTER,49,Copyright,© 2025 Captured by Boaz — Lelystad NL,
